GeoZone;ParentZone
EUROPE;WORLD
BENELUX;EUROZONE
AT;EUROZONE
BE;BENELUX
CY;EUROZONE
EE;EUROZONE
FI;EUROZONE
FR;EUROZONE
DE;EUROZONE
GR;EUROZONE
IE;EUROZONE
LV;EUROZONE
LT;EUROZONE
LU;BENELUX
MT;EUROZONE
NL;BENELUX
PT;EUROZONE
SK;EUROZONE
SI;EUROZONE
ES;EUROZONE
EUROZONE;EU
BG;EU
HR;EU
CZ;EU
HU;EU
PL;EU
RO;EU
SE;EU
DK;EU
EU;EUROPE
NON EU;EUROPE
AL;NON EU
AD;NON EU
AM;NON EU
AZ;NON EU
BY;NON EU
BA;NON EU
GE;NON EU
IS;NON EU
XK;NON EU
LI;NON EU
MD;NON EU
MC;NON EU
ME;NON EU
MK;NON EU
NO;NON EU
RU;NON EU
RS;NON EU
SM;NON EU
CH;NON EU
TR;NON EU
UA;NON EU
GB;NON EU
VA;NON EU
OTHERS;WORLD
